template,mode,N,run,fork_idx,latency_ms,preload_ms,e2e_ms
python-sci/v1,fork-cold,16,4,14,16.495,0.000,16.495
python-sci/v1,fork-cold,16,4,15,39.263,0.000,39.263
python-sci/v1,fork-cold,16,5,0,14.899,0.000,14.899
python-sci/v1,fork-cold,16,5,1,25.791,0.000,25.791
python-sci/v1,fork-cold,16,5,2,63.692,0.000,63.692
python-sci/v1,fork-cold,16,5,3,21.052,0.000,21.052
python-sci/v1,fork-cold,16,5,4,35.137,0.000,35.137
python-sci/v1,fork-cold,16,5,5,37.403,0.000,37.403
python-sci/v1,fork-cold,16,5,6,50.755,0.000,50.755
python-sci/v1,fork-cold,16,5,7,16.180,0.000,16.180
python-sci/v1,fork-cold,16,5,8,15.521,0.000,15.521
python-sci/v1,fork-cold,16,5,9,30.133,0.000,30.133
python-sci/v1,fork-cold,16,5,10,60.017,0.000,60.017
python-sci/v1,fork-cold,16,5,11,33.598,0.000,33.598
python-sci/v1,fork-cold,16,5,12,15.038,0.000,15.038
python-sci/v1,fork-cold,16,5,13,59.351,0.000,59.351
python-sci/v1,fork-cold,16,5,14,40.432,0.000,40.432
python-sci/v1,fork-cold,16,5,15,31.773,0.000,31.773
python-sci/v1,fork-cold,16,6,0,22.230,0.000,22.230
python-sci/v1,fork-cold,16,6,1,24.109,0.000,24.109
python-sci/v1,fork-cold,16,6,2,25.077,0.000,25.077
python-sci/v1,fork-cold,16,6,3,31.638,0.000,31.638
python-sci/v1,fork-cold,16,6,4,17.545,0.000,17.545
python-sci/v1,fork-cold,16,6,5,47.793,0.000,47.793
python-sci/v1,fork-cold,16,6,6,46.957,0.000,46.957
python-sci/v1,fork-cold,16,6,7,24.290,0.000,24.290
python-sci/v1,fork-cold,16,6,8,19.421,0.000,19.421
python-sci/v1,fork-cold,16,6,9,37.168,0.000,37.168
python-sci/v1,fork-cold,16,6,10,73.787,0.000,73.787
python-sci/v1,fork-cold,16,6,11,72.052,0.000,72.052
python-sci/v1,fork-cold,16,6,12,24.128,0.000,24.128
python-sci/v1,fork-cold,16,6,13,32.486,0.000,32.486
python-sci/v1,fork-cold,16,6,14,45.134,0.000,45.134
python-sci/v1,fork-cold,16,6,15,28.145,0.000,28.145
python-sci/v1,fork-cold,16,7,0,20.150,0.000,20.150
python-sci/v1,fork-cold,16,7,1,29.467,0.000,29.467
python-sci/v1,fork-cold,16,7,2,33.609,0.000,33.609
python-sci/v1,fork-cold,16,7,3,57.828,0.000,57.828
python-sci/v1,fork-cold,16,7,4,29.459,0.000,29.459
python-sci/v1,fork-cold,16,7,5,29.246,0.000,29.246
python-sci/v1,fork-cold,16,7,6,43.991,0.000,43.991
python-sci/v1,fork-cold,16,7,7,35.750,0.000,35.750
python-sci/v1,fork-cold,16,7,8,19.598,0.000,19.598
python-sci/v1,fork-cold,16,7,9,26.176,0.000,26.176
python-sci/v1,fork-cold,16,7,10,29.203,0.000,29.203
python-sci/v1,fork-cold,16,7,11,57.953,0.000,57.953
python-sci/v1,fork-cold,16,7,12,22.640,0.000,22.640
python-sci/v1,fork-cold,16,7,13,54.766,0.000,54.766
python-sci/v1,fork-cold,16,7,14,54.727,0.000,54.727
python-sci/v1,fork-cold,16,7,15,35.820,0.000,35.820
python-sci/v1,fork-cold,16,8,0,55.883,0.000,55.883
python-sci/v1,fork-cold,16,8,1,31.776,0.000,31.776
python-sci/v1,fork-cold,16,8,2,20.884,0.000,20.884
python-sci/v1,fork-cold,16,8,3,27.559,0.000,27.559
python-sci/v1,fork-cold,16,8,4,30.481,0.000,30.481
python-sci/v1,fork-cold,16,8,5,34.804,0.000,34.804
python-sci/v1,fork-cold,16,8,6,24.118,0.000,24.118
python-sci/v1,fork-cold,16,8,7,45.763,0.000,45.763
python-sci/v1,fork-cold,16,8,8,41.955,0.000,41.955
python-sci/v1,fork-cold,16,8,9,25.252,0.000,25.252
python-sci/v1,fork-cold,16,8,10,27.804,0.000,27.804
python-sci/v1,fork-cold,16,8,11,38.242,0.000,38.242
python-sci/v1,fork-cold,16,8,12,16.063,0.000,16.063
python-sci/v1,fork-cold,16,8,13,28.242,0.000,28.242
python-sci/v1,fork-cold,16,8,14,46.046,0.000,46.046
python-sci/v1,fork-cold,16,8,15,39.258,0.000,39.258
python-sci/v1,fork-cold,16,9,0,67.431,0.000,67.431
python-sci/v1,fork-cold,16,9,1,30.287,0.000,30.287
python-sci/v1,fork-cold,16,9,2,31.143,0.000,31.143
python-sci/v1,fork-cold,16,9,3,31.500,0.000,31.500
python-sci/v1,fork-cold,16,9,4,22.933,0.000,22.933
python-sci/v1,fork-cold,16,9,5,60.452,0.000,60.452
python-sci/v1,fork-cold,16,9,6,64.180,0.000,64.180
python-sci/v1,fork-cold,16,9,7,46.310,0.000,46.310
python-sci/v1,fork-cold,16,9,8,44.942,0.000,44.942
python-sci/v1,fork-cold,16,9,9,20.581,0.000,20.581
python-sci/v1,fork-cold,16,9,10,59.165,0.000,59.165
python-sci/v1,fork-cold,16,9,11,44.704,0.000,44.704
python-sci/v1,fork-cold,16,9,12,13.602,0.000,13.602
python-sci/v1,fork-cold,16,9,13,52.445,0.000,52.445
python-sci/v1,fork-cold,16,9,14,50.140,0.000,50.140
python-sci/v1,fork-cold,16,9,15,21.724,0.000,21.724
