template,mode,N,run,fork_idx,latency_ms,preload_ms,e2e_ms
llama-3.2-1b-q4/v1,fork-cold,16,4,7,75.678,0.000,75.678
llama-3.2-1b-q4/v1,fork-cold,16,4,8,75.532,0.000,75.532
llama-3.2-1b-q4/v1,fork-cold,16,4,9,39.937,0.000,39.937
llama-3.2-1b-q4/v1,fork-cold,16,4,10,23.963,0.000,23.963
llama-3.2-1b-q4/v1,fork-cold,16,4,11,56.804,0.000,56.804
llama-3.2-1b-q4/v1,fork-cold,16,4,12,35.191,0.000,35.191
llama-3.2-1b-q4/v1,fork-cold,16,4,13,71.320,0.000,71.320
llama-3.2-1b-q4/v1,fork-cold,16,4,14,41.322,0.000,41.322
llama-3.2-1b-q4/v1,fork-cold,16,4,15,62.199,0.000,62.199
llama-3.2-1b-q4/v1,fork-cold,16,5,0,38.676,0.000,38.676
llama-3.2-1b-q4/v1,fork-cold,16,5,1,38.858,0.000,38.858
llama-3.2-1b-q4/v1,fork-cold,16,5,2,77.939,0.000,77.939
llama-3.2-1b-q4/v1,fork-cold,16,5,3,47.869,0.000,47.869
llama-3.2-1b-q4/v1,fork-cold,16,5,4,18.096,0.000,18.096
llama-3.2-1b-q4/v1,fork-cold,16,5,5,38.565,0.000,38.565
llama-3.2-1b-q4/v1,fork-cold,16,5,6,54.225,0.000,54.225
llama-3.2-1b-q4/v1,fork-cold,16,5,7,44.158,0.000,44.158
llama-3.2-1b-q4/v1,fork-cold,16,5,8,39.461,0.000,39.461
llama-3.2-1b-q4/v1,fork-cold,16,5,9,46.970,0.000,46.970
llama-3.2-1b-q4/v1,fork-cold,16,5,10,73.624,0.000,73.624
llama-3.2-1b-q4/v1,fork-cold,16,5,11,83.947,0.000,83.947
llama-3.2-1b-q4/v1,fork-cold,16,5,12,36.728,0.000,36.728
llama-3.2-1b-q4/v1,fork-cold,16,5,13,91.098,0.000,91.098
llama-3.2-1b-q4/v1,fork-cold,16,5,14,52.429,0.000,52.429
llama-3.2-1b-q4/v1,fork-cold,16,5,15,83.711,0.000,83.711
llama-3.2-1b-q4/v1,fork-cold,16,6,0,69.460,0.000,69.460
llama-3.2-1b-q4/v1,fork-cold,16,6,1,60.297,0.000,60.297
llama-3.2-1b-q4/v1,fork-cold,16,6,2,58.126,0.000,58.126
llama-3.2-1b-q4/v1,fork-cold,16,6,3,12.665,0.000,12.665
llama-3.2-1b-q4/v1,fork-cold,16,6,4,60.591,0.000,60.591
llama-3.2-1b-q4/v1,fork-cold,16,6,5,21.879,0.000,21.879
llama-3.2-1b-q4/v1,fork-cold,16,6,6,60.579,0.000,60.579
llama-3.2-1b-q4/v1,fork-cold,16,6,7,21.307,0.000,21.307
llama-3.2-1b-q4/v1,fork-cold,16,6,8,64.252,0.000,64.252
llama-3.2-1b-q4/v1,fork-cold,16,6,9,60.605,0.000,60.605
llama-3.2-1b-q4/v1,fork-cold,16,6,10,60.833,0.000,60.833
llama-3.2-1b-q4/v1,fork-cold,16,6,11,60.593,0.000,60.593
llama-3.2-1b-q4/v1,fork-cold,16,6,12,25.621,0.000,25.621
llama-3.2-1b-q4/v1,fork-cold,16,6,13,78.704,0.000,78.704
llama-3.2-1b-q4/v1,fork-cold,16,6,14,76.075,0.000,76.075
llama-3.2-1b-q4/v1,fork-cold,16,6,15,62.437,0.000,62.437
llama-3.2-1b-q4/v1,fork-cold,16,7,0,54.311,0.000,54.311
llama-3.2-1b-q4/v1,fork-cold,16,7,1,49.340,0.000,49.340
llama-3.2-1b-q4/v1,fork-cold,16,7,2,23.431,0.000,23.431
llama-3.2-1b-q4/v1,fork-cold,16,7,3,32.766,0.000,32.766
llama-3.2-1b-q4/v1,fork-cold,16,7,4,39.707,0.000,39.707
llama-3.2-1b-q4/v1,fork-cold,16,7,5,20.148,0.000,20.148
llama-3.2-1b-q4/v1,fork-cold,16,7,6,39.998,0.000,39.998
llama-3.2-1b-q4/v1,fork-cold,16,7,7,30.924,0.000,30.924
llama-3.2-1b-q4/v1,fork-cold,16,7,8,41.935,0.000,41.935
llama-3.2-1b-q4/v1,fork-cold,16,7,9,75.516,0.000,75.516
llama-3.2-1b-q4/v1,fork-cold,16,7,10,64.721,0.000,64.721
llama-3.2-1b-q4/v1,fork-cold,16,7,11,105.864,0.000,105.864
llama-3.2-1b-q4/v1,fork-cold,16,7,12,87.535,0.000,87.535
llama-3.2-1b-q4/v1,fork-cold,16,7,13,44.733,0.000,44.733
llama-3.2-1b-q4/v1,fork-cold,16,7,14,33.820,0.000,33.820
llama-3.2-1b-q4/v1,fork-cold,16,7,15,19.540,0.000,19.540
llama-3.2-1b-q4/v1,fork-cold,16,8,0,25.057,0.000,25.057
llama-3.2-1b-q4/v1,fork-cold,16,8,1,28.924,0.000,28.924
llama-3.2-1b-q4/v1,fork-cold,16,8,2,27.390,0.000,27.390
llama-3.2-1b-q4/v1,fork-cold,16,8,3,23.109,0.000,23.109
llama-3.2-1b-q4/v1,fork-cold,16,8,4,63.916,0.000,63.916
llama-3.2-1b-q4/v1,fork-cold,16,8,5,81.096,0.000,81.096
llama-3.2-1b-q4/v1,fork-cold,16,8,6,24.049,0.000,24.049
llama-3.2-1b-q4/v1,fork-cold,16,8,7,81.491,0.000,81.491
llama-3.2-1b-q4/v1,fork-cold,16,8,8,62.370,0.000,62.370
llama-3.2-1b-q4/v1,fork-cold,16,8,9,35.964,0.000,35.964
llama-3.2-1b-q4/v1,fork-cold,16,8,10,28.427,0.000,28.427
llama-3.2-1b-q4/v1,fork-cold,16,8,11,55.875,0.000,55.875
llama-3.2-1b-q4/v1,fork-cold,16,8,12,61.635,0.000,61.635
llama-3.2-1b-q4/v1,fork-cold,16,8,13,38.605,0.000,38.605
llama-3.2-1b-q4/v1,fork-cold,16,8,14,96.471,0.000,96.471
llama-3.2-1b-q4/v1,fork-cold,16,8,15,55.909,0.000,55.909
llama-3.2-1b-q4/v1,fork-cold,16,9,0,21.271,0.000,21.271
llama-3.2-1b-q4/v1,fork-cold,16,9,1,70.000,0.000,70.000
llama-3.2-1b-q4/v1,fork-cold,16,9,2,101.101,0.000,101.101
llama-3.2-1b-q4/v1,fork-cold,16,9,3,20.213,0.000,20.213
llama-3.2-1b-q4/v1,fork-cold,16,9,4,52.063,0.000,52.063
llama-3.2-1b-q4/v1,fork-cold,16,9,5,40.155,0.000,40.155
llama-3.2-1b-q4/v1,fork-cold,16,9,6,74.320,0.000,74.320
llama-3.2-1b-q4/v1,fork-cold,16,9,7,40.161,0.000,40.161
llama-3.2-1b-q4/v1,fork-cold,16,9,8,75.788,0.000,75.788
llama-3.2-1b-q4/v1,fork-cold,16,9,9,81.384,0.000,81.384
llama-3.2-1b-q4/v1,fork-cold,16,9,10,42.405,0.000,42.405
llama-3.2-1b-q4/v1,fork-cold,16,9,11,34.698,0.000,34.698
llama-3.2-1b-q4/v1,fork-cold,16,9,12,25.620,0.000,25.620
llama-3.2-1b-q4/v1,fork-cold,16,9,13,23.924,0.000,23.924
llama-3.2-1b-q4/v1,fork-cold,16,9,14,34.600,0.000,34.600
llama-3.2-1b-q4/v1,fork-cold,16,9,15,13.775,0.000,13.775
