template,mode,N,run,fork_idx,latency_ms,preload_ms,e2e_ms
llm-client/v1,fan-out,32,0,20,19.078,1184.988,1204.066
llm-client/v1,fan-out,32,0,21,25.838,1188.076,1213.914
llm-client/v1,fan-out,32,0,22,30.059,1026.223,1056.282
llm-client/v1,fan-out,32,0,23,24.009,1162.990,1186.998
llm-client/v1,fan-out,32,0,24,50.607,1185.535,1236.142
llm-client/v1,fan-out,32,0,25,65.525,1072.593,1138.118
llm-client/v1,fan-out,32,0,26,38.929,1117.641,1156.570
llm-client/v1,fan-out,32,0,27,42.588,1174.711,1217.300
llm-client/v1,fan-out,32,0,28,52.941,1170.702,1223.642
llm-client/v1,fan-out,32,0,29,29.589,1205.093,1234.682
llm-client/v1,fan-out,32,0,30,82.530,1168.432,1250.962
llm-client/v1,fan-out,32,0,31,53.017,1201.874,1254.891
llm-client/v1,fan-out,32,1,0,52.860,1195.088,1247.948
llm-client/v1,fan-out,32,1,1,16.963,1195.643,1212.606
llm-client/v1,fan-out,32,1,2,23.961,1164.118,1188.080
llm-client/v1,fan-out,32,1,3,50.060,1040.125,1090.186
llm-client/v1,fan-out,32,1,4,47.995,1149.342,1197.337
llm-client/v1,fan-out,32,1,5,59.541,1194.905,1254.446
llm-client/v1,fan-out,32,1,6,23.100,1115.316,1138.416
llm-client/v1,fan-out,32,1,7,48.606,1044.969,1093.575
llm-client/v1,fan-out,32,1,8,45.672,1204.370,1250.041
llm-client/v1,fan-out,32,1,9,34.233,1156.238,1190.472
llm-client/v1,fan-out,32,1,10,24.658,1133.464,1158.122
llm-client/v1,fan-out,32,1,11,44.633,1181.677,1226.310
llm-client/v1,fan-out,32,1,12,100.235,1157.074,1257.308
llm-client/v1,fan-out,32,1,13,59.909,1203.607,1263.516
llm-client/v1,fan-out,32,1,14,21.856,1090.760,1112.616
llm-client/v1,fan-out,32,1,15,47.968,1150.018,1197.986
llm-client/v1,fan-out,32,1,16,68.741,1188.876,1257.616
llm-client/v1,fan-out,32,1,17,64.661,1124.553,1189.214
llm-client/v1,fan-out,32,1,18,104.057,1190.746,1294.804
llm-client/v1,fan-out,32,1,19,62.120,1180.934,1243.053
llm-client/v1,fan-out,32,1,20,55.932,1109.763,1165.695
llm-client/v1,fan-out,32,1,21,27.412,1163.336,1190.748
llm-client/v1,fan-out,32,1,22,52.737,1127.040,1179.777
llm-client/v1,fan-out,32,1,23,53.314,1171.125,1224.439
llm-client/v1,fan-out,32,1,24,99.120,1133.384,1232.504
llm-client/v1,fan-out,32,1,25,114.830,1200.666,1315.496
llm-client/v1,fan-out,32,1,26,65.246,1171.449,1236.694
llm-client/v1,fan-out,32,1,27,75.783,1117.597,1193.379
llm-client/v1,fan-out,32,1,28,36.763,1128.239,1165.002
llm-client/v1,fan-out,32,1,29,75.943,1128.291,1204.234
llm-client/v1,fan-out,32,1,30,115.557,1090.900,1206.457
llm-client/v1,fan-out,32,1,31,49.036,1190.239,1239.275
llm-client/v1,fan-out,32,2,0,47.329,1210.213,1257.542
llm-client/v1,fan-out,32,2,1,45.248,1231.540,1276.788
llm-client/v1,fan-out,32,2,2,33.384,1177.993,1211.377
llm-client/v1,fan-out,32,2,3,36.098,1194.630,1230.728
llm-client/v1,fan-out,32,2,4,83.176,1219.936,1303.111
llm-client/v1,fan-out,32,2,5,101.077,1226.757,1327.834
llm-client/v1,fan-out,32,2,6,90.811,1212.583,1303.393
llm-client/v1,fan-out,32,2,7,70.314,1201.395,1271.709
llm-client/v1,fan-out,32,2,8,95.947,1238.830,1334.777
llm-client/v1,fan-out,32,2,9,87.813,1219.581,1307.394
llm-client/v1,fan-out,32,2,10,44.742,1121.030,1165.772
llm-client/v1,fan-out,32,2,11,20.967,1149.343,1170.310
llm-client/v1,fan-out,32,2,12,60.761,1197.714,1258.476
llm-client/v1,fan-out,32,2,13,32.439,1084.871,1117.310
llm-client/v1,fan-out,32,2,14,42.981,1105.511,1148.492
llm-client/v1,fan-out,32,2,15,62.915,1135.429,1198.345
llm-client/v1,fan-out,32,2,16,38.070,1235.071,1273.141
llm-client/v1,fan-out,32,2,17,48.659,1169.232,1217.891
llm-client/v1,fan-out,32,2,18,38.463,1156.463,1194.925
llm-client/v1,fan-out,32,2,19,49.514,1181.789,1231.303
llm-client/v1,fan-out,32,2,20,19.907,1183.297,1203.204
llm-client/v1,fan-out,32,2,21,34.399,1187.666,1222.065
llm-client/v1,fan-out,32,2,22,50.265,1176.304,1226.569
llm-client/v1,fan-out,32,2,23,74.977,1204.290,1279.267
llm-client/v1,fan-out,32,2,24,15.420,855.235,870.655
llm-client/v1,fan-out,32,2,25,33.900,1190.957,1224.857
llm-client/v1,fan-out,32,2,26,80.782,1226.733,1307.515
llm-client/v1,fan-out,32,2,27,74.348,1165.204,1239.552
llm-client/v1,fan-out,32,2,28,79.142,1203.273,1282.414
llm-client/v1,fan-out,32,2,29,94.792,1172.242,1267.033
llm-client/v1,fan-out,32,2,30,78.269,1205.420,1283.689
llm-client/v1,fan-out,32,2,31,50.677,1220.321,1270.999
llm-client/v1,fan-out,32,3,0,28.354,1131.050,1159.404
llm-client/v1,fan-out,32,3,1,60.329,1245.644,1305.973
llm-client/v1,fan-out,32,3,2,47.009,1238.604,1285.613
llm-client/v1,fan-out,32,3,3,32.709,1236.606,1269.315
llm-client/v1,fan-out,32,3,4,44.306,1248.659,1292.965
llm-client/v1,fan-out,32,3,5,15.967,1227.566,1243.532
llm-client/v1,fan-out,32,3,6,71.360,1180.207,1251.567
llm-client/v1,fan-out,32,3,7,77.818,1143.177,1220.996
llm-client/v1,fan-out,32,3,8,88.531,1226.396,1314.927
llm-client/v1,fan-out,32,3,9,69.024,1194.130,1263.154
llm-client/v1,fan-out,32,3,10,71.735,1215.103,1286.838
llm-client/v1,fan-out,32,3,11,50.833,1231.392,1282.225
llm-client/v1,fan-out,32,3,12,71.332,1148.038,1219.369
llm-client/v1,fan-out,32,3,13,60.113,1211.553,1271.666
llm-client/v1,fan-out,32,3,14,57.918,1215.215,1273.133
llm-client/v1,fan-out,32,3,15,86.012,1183.647,1269.659
llm-client/v1,fan-out,32,3,16,70.666,1232.637,1303.303
llm-client/v1,fan-out,32,3,17,27.234,1108.957,1136.192
llm-client/v1,fan-out,32,3,18,39.420,1225.573,1264.993
llm-client/v1,fan-out,32,3,19,40.033,1197.301,1237.334
llm-client/v1,fan-out,32,3,20,31.021,1103.405,1134.426
llm-client/v1,fan-out,32,3,21,33.741,1157.304,1191.045
llm-client/v1,fan-out,32,3,22,34.029,1141.492,1175.521
llm-client/v1,fan-out,32,3,23,74.799,1169.091,1243.889
llm-client/v1,fan-out,32,3,24,40.141,1080.881,1121.022
llm-client/v1,fan-out,32,3,25,19.870,1096.413,1116.283
llm-client/v1,fan-out,32,3,26,24.097,1147.642,1171.739
llm-client/v1,fan-out,32,3,27,43.772,1194.324,1238.096
llm-client/v1,fan-out,32,3,28,60.687,1230.572,1291.259
llm-client/v1,fan-out,32,3,29,80.718,1214.523,1295.241
llm-client/v1,fan-out,32,3,30,83.443,1194.138,1277.581
llm-client/v1,fan-out,32,3,31,21.185,1161.652,1182.836
llm-client/v1,fan-out,32,4,0,70.673,1158.667,1229.340
llm-client/v1,fan-out,32,4,1,52.615,1170.977,1223.591
llm-client/v1,fan-out,32,4,2,39.126,1189.703,1228.830
llm-client/v1,fan-out,32,4,3,69.460,1278.869,1348.329
llm-client/v1,fan-out,32,4,4,44.960,1276.335,1321.295
llm-client/v1,fan-out,32,4,5,48.848,1198.039,1246.888
llm-client/v1,fan-out,32,4,6,62.868,1145.829,1208.696
llm-client/v1,fan-out,32,4,7,26.745,1203.144,1229.889
llm-client/v1,fan-out,32,4,8,50.816,1131.162,1181.979
llm-client/v1,fan-out,32,4,9,70.114,1251.991,1322.106
llm-client/v1,fan-out,32,4,10,50.095,1156.059,1206.154
llm-client/v1,fan-out,32,4,11,36.195,1278.195,1314.390
llm-client/v1,fan-out,32,4,12,65.070,1277.118,1342.188
llm-client/v1,fan-out,32,4,13,62.621,1272.723,1335.344
llm-client/v1,fan-out,32,4,14,71.073,1016.120,1087.193
llm-client/v1,fan-out,32,4,15,48.833,1203.858,1252.691
llm-client/v1,fan-out,32,4,16,40.571,1108.651,1149.222
llm-client/v1,fan-out,32,4,17,69.767,1275.522,1345.288
llm-client/v1,fan-out,32,4,18,38.576,1143.876,1182.452
llm-client/v1,fan-out,32,4,19,33.088,1272.791,1305.879
llm-client/v1,fan-out,32,4,20,57.505,1221.043,1278.548
llm-client/v1,fan-out,32,4,21,76.373,1243.431,1319.804
llm-client/v1,fan-out,32,4,22,54.326,1196.150,1250.476
llm-client/v1,fan-out,32,4,23,36.815,1016.916,1053.731
llm-client/v1,fan-out,32,4,24,34.685,1201.689,1236.374
llm-client/v1,fan-out,32,4,25,40.266,1274.653,1314.919
llm-client/v1,fan-out,32,4,26,45.122,1173.955,1219.077
llm-client/v1,fan-out,32,4,27,73.102,1265.064,1338.166
llm-client/v1,fan-out,32,4,28,91.463,1212.586,1304.048
llm-client/v1,fan-out,32,4,29,67.886,1133.538,1201.424
llm-client/v1,fan-out,32,4,30,69.189,1208.415,1277.604
llm-client/v1,fan-out,32,4,31,44.740,1265.740,1310.480
